entity1,relation,entity2,merged_sentence,label
Nuxt.js,comes with,a framework,nuxt.js comes with a framework,T
Nuxt.js,comes with,features,nuxt.js comes with features,T
Nuxt.js,following to create,a rich web application development,nuxt.js following to create a rich web application development,F
File,reduces,the load time,file reduces the load time,F
Nuxt Generate,provides,a powerful tool,nuxt generate provides a powerful tool,T
Nuxt Generate,prerender,pages,nuxt generate prerender pages,T
Google Cloud Datastore,offers,the following features,google cloud datastore offers the following features,F
Markdown,can be converted to,HTML,markdown can be converted to html,T
Markdown,create,rich text,markdown create rich text,T
Markdown,is often used to format,readme files,markdown is often used to format readme files,T
The language,takes,many cues,the language takes many cues,F
The language,takes,existing conventions,the language takes existing conventions,F
a Perl script,converts,up text input,a perl script converts up text input,T
a Perl script,replaces,pointing angle brackets,a perl script replaces pointing angle brackets,T
a Perl script,replaces,ampersands,a perl script replaces ampersands,T
Markdown,been re-implemented by,others,markdown been re-implemented by others,T
Markdown,been re-implemented by,a Perl module,markdown been re-implemented by a perl module,T
Markdown,has since been re-implemented,others,markdown has since been re-implemented others,F
Markdown,has since been re-implemented,a Perl module,markdown has since been re-implemented a perl module,T
Markdown,is distributed under,style license,markdown is distributed under style license,T
Notable examples,include,Babelmark,notable examples include babelmark,F
the output,generated by,different implementations,the output generated by different implementations,F
May,refer,an HttpRequest class,may refer an httprequest class,F
an HttpRequest class,automates,relevant functionality,an httprequest class automates relevant functionality,T
A request message,includes,the first line,a request message includes the first line,F
the method,be applied to,the resource,the method be applied to the resource,F
Tool Command Language,was invented by,John Ousterhout,tool command language was invented by john ousterhout,T
Tool Command Language,has grown far beyond,those humble beginnings,tool command language has grown far beyond those humble beginnings,F
Tool Command Language,was invented by,John Ousterhout,tool command language was invented by john ousterhout,T
Tool Command Language,has grown far beyond,those humble beginnings,tool command language has grown far beyond those humble beginnings,F
Use,is usually not recommended,Use,use is usually not recommended use,F
Use,does not receive,fix support,use does not receive fix support,F
Version,introduces,features,version introduces features,F
Play,features,minimal resource consumption,play features minimal resource consumption,T
Play,is based on,friendly architecture,play is based on friendly architecture,T
classification,refers to,machine learning,classification refers to machine learning,T
classification,refers to,statistics,classification refers to statistics,T
classification,refers to,the problem,classification refers to the problem,F
the problem,is instead known as,regression,the problem is instead known as regression,F
The unsupervised counterpart,involves,grouping data,the unsupervised counterpart involves grouping data,F
The unsupervised counterpart,is known as,clustering,the unsupervised counterpart is known as clustering,F
The unsupervised counterpart,is known as,cluster analysis,the unsupervised counterpart is known as cluster analysis,F
The unsupervised counterpart,involves,categories,the unsupervised counterpart involves categories,T
Windows apps,target,Windows,windows apps target windows,F
Windows Store apps,are built on,WinRT,windows store apps are built on winrt,T
Windows Store apps,are available on,Windows Store,windows store apps are available on windows store,T
Windows Store Apps,are built on,WinRT,windows store apps are built on winrt,T
Windows Store Apps,are available through,Windows Store,windows store apps are available through windows store,T
This term,used to indicate,addressable unit,this term used to indicate addressable unit,F
This term,used to indicate,addressable unit,this term used to indicate addressable unit,F
the term byte,refers to,These days,the term byte refers to these days,F
the term byte,refers to,a unit,the term byte refers to a unit,F
an object,is recreated from,the process,an object is recreated from the process,F
an object,is recreated from,Deserialization serialized state,an object is recreated from deserialization serialized state,F
newcomers,contain,an overview,newcomers contain an overview,F
newcomers,contain,guidelines,newcomers contain guidelines,F
OData,specifies,practices,odata specifies practices,T
updating data,specifies,practices,updating data specifies practices,F
updating data,can be freely incorporated in,various kinds,updating data can be freely incorporated in various kinds,F
updating data,specifies,REST APIs,updating data specifies rest apis,T
updating data,specifies,updating data,updating data specifies updating data,F
This same standardization,allows,generic hypermedia clients,this same standardization allows generic hypermedia clients,F
This same standardization,consume,the service,this same standardization consume the service,F
excel,are well known,data clients,excel are well known data clients,T
tableau,are well known,data clients,tableau are well known data clients,T
openui5,are well known,data clients,openui5 are well known data clients,T
a bar,illustrates,the task percentage,a bar illustrates the task percentage,F
The graphic,is often displayed as,a bar,the graphic is often displayed as a bar,F
Descriptive textual information,may accompany,A progress bar,descriptive textual information may accompany a progress bar,F
determinate progress bars,use,a linear function,determinate progress bars use a linear function,T
memory,complicate,this estimate,memory complicate this estimate,F
processor,complicate,this estimate,processor complicate this estimate,F
bandwidth,complicate,this estimate,bandwidth complicate this estimate,F
other factors,complicate,this estimate,other factors complicate this estimate,F
progress bars,exhibit,non-linear behaviors,progress bars exhibit non-linear behaviors,T
These behaviors,produces,a variable perception,these behaviors produces a variable perception,F
the graphical design,been shown to influence,humans' perception,the graphical design been shown to influence humans' perception,F
the graphical design,provide,a simple animation,the graphical design provide a simple animation,F
the graphical design,been shown to influence,humans' perception,the graphical design been shown to influence humans' perception,F
wxPython,allows,Python programmers,wxpython allows python programmers,T
wxPython,create,programs,wxpython create programs,T
